block,state,district
keoti,bihar,
goura-bouram,bihar,
manigacchi,bihar,
ghanashyampur,bihar,
banjharia,bihar,
chhouradanu (narkatiya),bihar,
pakaridayal,bihar,
sugouli,bihar,
banka bazar,bihar,
tankupa,bihar,
nimchak bathani,bihar,
mouhra,bihar,
gaya  sadar,bihar,
kuchaikot,bihar,
kateyan,bihar,
panchdeori,bihar,
hathwa,bihar,
lakhimpur,bihar,
ghosi,bihar,
samili,bihar,
gogari,bihar,
dighabank,bihar,
teragachi,bihar,
koch dhami,bihar,
barahia,bihar,
piparia,bihar,
channan,bihar,
alam nagar,bihar,
sankarpur,bihar,
uda kishanganj,bihar,
andaratharhi,bihar,
babubarahi,bihar,
tetia bhamber,bihar,
mushari,bihar,
saraia,bihar,
shahebganj,bihar,
kurahni,bihar,
moraul (dholi),bihar,
karai parsauni,bihar,
biharsarif,bihar,
ekangasarai,bihar,
nagarnausa,bihar,
parwalpur,bihar,
govindpur,bihar,
kasichak,bihar,
pakribarwan,bihar,
warsaliganj,bihar,
patna sadar,bihar,
phulwarisarif,bihar,
ghoshwari,bihar,
dulhinbazar,bihar,
belchi,bihar,
masuarhi,bihar,
baraharakothi,bihar,
amaur,bihar,
karahgar,bihar,
dehari,bihar,
tilawthu,bihar,
nasariganj,bihar,
akhorigola,bihar,
salakhua,bihar,
banma itahari,bihar,
simari bakhtiyarpur,bihar,
satar katya,bihar,
patarhgat,bihar,
saurbazar,bihar,
vidyapatinagar,bihar,
bibhutipur,bihar,
shivajinagar,bihar,
bitha,bihar,
mohiaddinagar,bihar,
tariya,bihar,
masharakh,bihar,
amnaur,bihar,
sonpur,bihar,
parasa,bihar,
garakha,bihar,
ghatkusumba,bihar,
barbihga,bihar,
sheihkpura,bihar,
shekhopursarai,bihar,
chebara,bihar,
purnahia,bihar,
tariyani,bihar,
runi saidpur,bihar,
majorjong,bihar,
churaut,bihar,
goryakothi,bihar,
jeradei,bihar,
daraunda,bihar,
saraigarh bhaptiahi,bihar,
chattapur,bihar,
patehi belsar,bihar,
sahdai bizurg,bihar,
goroul,bihar,
premraj/ desri,bihar,
chehra kala,bihar,
hazipur,bihar,
rajapakar,bihar,
chanpatiya,bihar,
lauria,bihar,
chandigarh,chandigarh,
doundi,chhattisgarh,
dondi lohara,chhattisgarh,
ramchandrapur,chhattisgarh,
lohangiguda,chhattisgarh,
bakawand,chhattisgarh,
tokpal,chhattisgarh,
ussur,chhattisgarh,
belha,chhattisgarh,
kuwakonda,chhattisgarh,
dantewara,chhattisgarh,
geedam,chhattisgarh,
janjgir (nawagarh),chhattisgarh,
balouda,chhattisgarh,
bamhanidih,chhattisgarh,
dabhara,chhattisgarh,
pharsabahar,chhattisgarh,
koilibeda,chhattisgarh,
keshkal,chhattisgarh,
podi uprora,chhattisgarh,
khadgawan,chhattisgarh,
bagbahera,chhattisgarh,
patharia,chhattisgarh,
gharghota,chhattisgarh,
pussore,chhattisgarh,
dharsiwa,chhattisgarh,
ambagarh chowki,chhattisgarh,
odgi,chhattisgarh,
mainpot,chhattisgarh,
nazur land,delhi,
seemapuri,delhi,
dharbondara,goa,
cancona,goa,
marmugao,goa,
lakhani,gujarat,
anklesvar,gujarat,
zalod,gujarat,
gir gadhda,gujarat,
lunawada,gujarat,
tilakwada,gujarat,
shehra,gujarat,
morwa hadaf,gujarat,
sarsvati(patan),gujarat,
sankheswar,gujarat,
kotada sangani,gujarat,
vinchchiya,gujarat,
jamkandorna,gujarat,
wadhwan,gujarat,
kukarmunda,gujarat,
dolvan,gujarat,
vaghodia,gujarat,
desar,gujarat,
umergam,gujarat,
behal,haryana,
jhojhu,haryana,
baund,haryana,
bhattu kalan,haryana,
farrukh nagar,haryana,
matannail,haryana,
salhawas,haryana,
alewa,haryana,
pillukhera,haryana,
rajound,haryana,
gharaunda (part),haryana,
nissing at chirao,haryana,
pipli,haryana,
nangal chaudhry,haryana,
ateli nangal,haryana,
raipur rani,haryana,
nahar,haryana,
khol at rewari,haryana,
jatusana,haryana,
dahina,haryana,
lakhan majra,haryana,
baragudha,haryana,
odhan,haryana,
nathusari chopta,haryana,
kathura,haryana,
khizrabad,haryana,
kala amb,himachal pradesh,
hum,himachal pradesh,
kargil,jammu & kashmir,
leh,jammu & kashmir,
chandan kiyari,jharkhand,
peterbar,jharkhand,
jaridih,jharkhand,
lawalong,jharkhand,
kanhachatti,jharkhand,
pratappur,jharkhand,
itkhori,jharkhand,
pathalgoda,jharkhand,
mayurhund,jharkhand,
margomunda,jharkhand,
sonaraithadhi,jharkhand,
gopikander,jharkhand,
kathikund,jharkhand,
shikaripara,jharkhand,
ranishwar,jharkhand,
masalia,jharkhand,
gurabandha,jharkhand,
ghatsila,jharkhand,
musabani,jharkhand,
golmuri cum jugsalai,jharkhand,
bhawanathpur,jharkhand,
kharaondhi,jharkhand,
jamua,jharkhand,
dhanwar,jharkhand,
basantrai,jharkhand,
sunderpahari,jharkhand,
meherma,jharkhand,
poreyahat,jharkhand,
thakurghanti,jharkhand,
bharno,jharkhand,
albert ekka,jharkhand,
chalkusha,jharkhand,
katkamsandi,jharkhand,
barkatha,jharkhand,
tatijharia,jharkhand,
katkamdag,jharkhand,
bishnugarh,jharkhand,
dari,jharkhand,
kundahit,jharkhand,
koderma,jharkhand,
jainagar,jharkhand,
mahuadanr,jharkhand,
herhang,jharkhand,
bariatu,jharkhand,
peshrar,jharkhand,
karro,jharkhand,
litipara,jharkhand,
bishrampur,jharkhand,
haidernagar,jharkhand,
utarior,jharkhand,
husainabad,jharkhand,
mohammedganj,jharkhand,
pandwa,jharkhand,
nawabazar,jharkhand,
udhua,jharkhand,
sahebganj,jharkhand,
kuchai,jharkhand,
kharsawan,jharkhand,
seraikela,jharkhand,
adityapur (gamharia),jharkhand,
pakardanr,jharkhand,
thethaitangar,jharkhand,
hatgamaria,jharkhand,
goelkera,jharkhand,
bilgi,karnataka,
hungund,karnataka,
jamkhandi,karnataka,
h.b.halli,karnataka,
hadagalli,karnataka,
bailahongal,karnataka,
devenhalli,karnataka,
dodaballapur,karnataka,
homnabad,karnataka,
chamrajnagara,karnataka,
chikballapur,karnataka,
sidlaghata,karnataka,
gudibanda,karnataka,
gauribidalur,karnataka,
kadur,karnataka,
bantval,karnataka,
davangere,karnataka,
jagalur,karnataka,
harpanahalli,karnataka,
kundagol,karnataka,
kalghatgi,karnataka,
shirhatti,karnataka,
holenarsipur,karnataka,
ranibennur,karnataka,
hangal,karnataka,
savannur,karnataka,
hirekerur,karnataka,
byadgi,karnataka,
chithapur,karnataka,
yelbarga,karnataka,
krishnarajpet,karnataka,
krishnrajanagara,karnataka,
nanjangud,karnataka,
tirumakudal narsipur,karnataka,
heggadadevankote,karnataka,
priyapatna,karnataka,
sindhnur,karnataka,
deodrug,karnataka,
ranmanagara,karnataka,
channapatana,karnataka,
sagar,karnataka,
shikaripur,karnataka,
sorab,karnataka,
chicknayakanhalli,karnataka,
karkal,karnataka,
mundog,karnataka,
honavar,karnataka,
sindgi,karnataka,
muddebihal,karnataka,
champakkulam,kerala,
thycattussery,kerala,
bharanikkavu,kerala,
pattanakkad,kerala,
harippad,kerala,
aryad,kerala,
vadavukodu,kerala,
pampakkuda,kerala,
vazhakkulam,kerala,
moovattupuzha,kerala,
vypeen,kerala,
mulamthuruthy,kerala,
azhutha,kerala,
elam desom,kerala,
nedumkandam,kerala,
irikkur,kerala,
kallyasseri,kerala,
kuthuparamba,kerala,
panur,kerala,
nileswaram,kerala,
manjeswar,kerala,
ithikkara,kerala,
chittumala,kerala,
mukhathala,kerala,
panthalayani,kerala,
melady,kerala,
ballussery,kerala,
nilamboor,kerala,
areacode,kerala,
thriurangadi,kerala,
thanur,kerala,
malampuzha,kerala,
parakode,kerala,
pulikeezh,kerala,
koipuram,kerala,
vellanad,kerala,
nemom,kerala,
chirayinkil,kerala,
athiyannur,kerala,
puzhakkal,kerala,
pazhayannur,kerala,
ollukkara,kerala,
mullassery,kerala,
cherpu,kerala,
iringalakkuda,kerala,
vadakkancherry,kerala,
thalikkulam,kerala,
chowannur,kerala,
mathilakom,kerala,
barod,madhya pradesh,
sondwa,madhya pradesh,
udaygarh,madhya pradesh,
kathiawada,madhya pradesh,
pusprajgarh,madhya pradesh,
ishagarh,madhya pradesh,
birsa,madhya pradesh,
baiher,madhya pradesh,
langi,madhya pradesh,
lalburra,madhya pradesh,
khairilangi,madhya pradesh,
thikari,madhya pradesh,
ghoradongri,madhya pradesh,
bhimpur,madhya pradesh,
chincholi,madhya pradesh,
p. pattan,madhya pradesh,
barasia,madhya pradesh,
phanda,madhya pradesh,
gourihar,madhya pradesh,
loundi,madhya pradesh,
badamalhara,madhya pradesh,
tendukhera,madhya pradesh,
patheriya,madhya pradesh,
sonkutch,madhya pradesh,
tonkkhurd,madhya pradesh,
nalcha,madhya pradesh,
umraban,madhya pradesh,
tirla,madhya pradesh,
mahdwani,madhya pradesh,
karanjia,madhya pradesh,
amerpur,madhya pradesh,
bajag,madhya pradesh,
chachoda,madhya pradesh,
ghatigaon,madhya pradesh,
morar,madhya pradesh,
babai,madhya pradesh,
rama,madhya pradesh,
dhimarkhrda,madhya pradesh,
bohariband,madhya pradesh,
vijayraghogarh,madhya pradesh,
badli,madhya pradesh,
zirniya,madhya pradesh,
mahashwar,madhya pradesh,
ghughri,madhya pradesh,
bijadnndi,madhya pradesh,
bichhiya,madhya pradesh,
malahargarh,madhya pradesh,
chichli,madhya pradesh,
chanwarpatha,madhya pradesh,
saikheda,madhya pradesh,
gonour,madhya pradesh,
begam ganj,madhya pradesh,
obedulla ganj,madhya pradesh,
narsingh garh,madhya pradesh,
zeerapur,madhya pradesh,
biora,madhya pradesh,
alote,madhya pradesh,
hanumanna,madhya pradesh,
gangao,madhya pradesh,
jaisinagar,madhya pradesh,
malthone,madhya pradesh,
unchehra,madhya pradesh,
rampur baghalan,madhya pradesh,
sohawal,madhya pradesh,
nasrulla ganj,madhya pradesh,
ichawar,madhya pradesh,
ghansore,madhya pradesh,
goparu,madhya pradesh,
mohan berodia,madhya pradesh,
karhal,madhya pradesh,
khanniyadhana,madhya pradesh,
mahjholi,madhya pradesh,
prathivipur,madhya pradesh,
ghatia,madhya pradesh,
kachrod,madhya pradesh,
karkeli,madhya pradesh,
gyraspur,madhya pradesh,
rhata,maharashtra,
newasa,maharashtra,
murtizapur,maharashtra,
achlapur,maharashtra,
tiwsa,maharashtra,
soyegaon,maharashtra,
fulambre,maharashtra,
wadvani,maharashtra,
shirur ka,maharashtra,
gevrai,maharashtra,
malakapur,maharashtra,
sindewali,maharashtra,
pobhurna,maharashtra,
nagbhind,maharashtra,
chimmur,maharashtra,
soroncha,maharashtra,
arjuni moregaon,maharashtra,
kalmnuri,maharashtra,
bodwad,maharashtra,
ghat sawangi,maharashtra,
jafrabad,maharashtra,
gaganbawada,maharashtra,
karvir,maharashtra,
bhudargad,maharashtra,
ajara,maharashtra,
hatkanangale,maharashtra,
devani,maharashtra,
ahmedpur,maharashtra,
mouda,maharashtra,
parshioni,maharashtra,
kamtee,maharashtra,
himataytnahar,maharashtra,
trambakeshwar,maharashtra,
nasik,maharashtra,
chandwad,maharashtra,
baglan satana,maharashtra,
omerga,maharashtra,
selu,maharashtra,
sonpepth,maharashtra,
maval,maharashtra,
mhasala,maharashtra,
shriwardhan,maharashtra,
vaibhavvwadi,maharashtra,
doudamarg,maharashtra,
sangola,maharashtra,
zara zamani,maharashtra,
pandharkavada,maharashtra,
omarkhed,maharashtra,
yeotmal,maharashtra,
daravha,maharashtra,
tuenchung,nagaland,
simulia,odisha,
nilgiri,odisha,
basudevpur,odisha,
dhamnagar,odisha,
bhandaripokhari,odisha,
muribahal,odisha,
puintala,odisha,
deogaon,odisha,
gudvella,odisha,
banki-dampara,odisha,
tangi-choudwar,odisha,
kantapada,odisha,
tileibani,odisha,
barkote,odisha,
goundia,odisha,
odapada,odisha,
r. udaygiri,odisha,
nuagada,odisha,
guma,odisha,
gosani,odisha,
kashinagara,odisha,
jaganathprasad,odisha,
sanakhemundi,odisha,
patrapur,odisha,
sergarh,odisha,
belguntha,odisha,
rangeilunda,odisha,
kujanga,odisha,
danagadi,odisha,
dasarathpur,odisha,
rasulpur,odisha,
korei,odisha,
kulabira,odisha,
kirmira,odisha,
th. rampur,odisha,
karlamunda,odisha,
kalampur,odisha,
jaipatna,odisha,
dharmagarh,odisha,
koksara,odisha,
narla,odisha,
daringibadi,odisha,
aul,odisha,
mahakalpada,odisha,
marshaghai,odisha,
garadpur,odisha,
ghatagaon,odisha,
banspal,odisha,
ghashipura,odisha,
hatadihi,odisha,
saharapada,odisha,
chilika,odisha,
jatni,odisha,
bologarh,odisha,
baipariguda,odisha,
potangi,odisha,
lamtaput,odisha,
kundra,odisha,
narayanapatna,odisha,
korkunda,odisha,
kudumuluguma,odisha,
samakhunta,odisha,
kuliana,odisha,
saraskana,odisha,
gopabandhu nagar,odisha,
moroda,odisha,
sukruli,odisha,
badasahi,odisha,
rasgovindpur,odisha,
papadhandi,odisha,
kasagumuda,odisha,
dabugaon,odisha,
nandahandi,odisha,
nabarangpur,odisha,
daspalla,odisha,
bhapur,odisha,
odogaon,odisha,
krushnaprasad,odisha,
nimapara,odisha,
delang,odisha,
kanas,odisha,
astarang,odisha,
kalayansinghpur,odisha,
ramanaguda,odisha,
bisamcuttack,odisha,
kolnara,odisha,
maneswar,odisha,
naktideol,odisha,
jujumura,odisha,
dhankauda,odisha,
ullunda,odisha,
tarva,odisha,
balishankara,odisha,
lefripada,odisha,
lahunipada,odisha,
hemgiri,odisha,
boneigarh,odisha,
tangarpalli,odisha,
harsha china,punjab,
tarsika,punjab,
mahal kalan,punjab,
talwandi saboo,punjab,
kot kapura,punjab,
khuyian sarwar,punjab,
ferozpur,punjab,
dina nagar,punjab,
garhsahnkar,punjab,
hazipur,punjab,
nur mahal,punjab,
dharamkot (kot isa kha,punjab,
sialba majri,punjab,
gidderbaha/ (kot bhai),punjab,
nawan shahr,punjab,
aur,punjab,
saroya,punjab,
narot jaimal singh,punjab,
bamyal,punjab,
bhuner heri,punjab,
nurpur bedi,punjab,
maler kotla,punjab,
lehraghaga,punjab,
bhiwanigarh,punjab,
naushehra panuan,punjab,
jawaja,rajasthan,
silora,rajasthan,
pisangan,rajasthan,
umrain,rajasthan,
arthoona,rajasthan,
chhoti sarwan,rajasthan,
gangartalai,rajasthan,
sindhary,rajasthan,
baitu,rajasthan,
gudamalani,rajasthan,
samadri,rajasthan,
dhorimana,rajasthan,
gida,rajasthan,
bijoliya,rajasthan,
keshorai  patan,rajasthan,
bhupalsagar,rajasthan,
sikrai,rajasthan,
galiykot,rajasthan,
jothri,rajasthan,
bichhiwara,rajasthan,
chikhli,rajasthan,
dovda,rajasthan,
anoopgarh,rajasthan,
sangria,rajasthan,
pilibangan,rajasthan,
viratnaga,rajasthan,
jamwa ram,rajasthan,
jalsu,rajasthan,
govindgar,rajasthan,
dug,rajasthan,
mandor,rajasthan,
shekhala,rajasthan,
mandrial,rajasthan,
khairabad,rajasthan,
molasar,rajasthan,
khinvsar,rajasthan,
peepalkhoont,rajasthan,
kumbhalga,rajasthan,
chauth ka berwada,rajasthan,
phalasiya,rajasthan,
rishabhdev,rajasthan,
kurawad,rajasthan,
sayara,rajasthan,
jallara,rajasthan,
jayankondam,tamilnadu,
nagamangalam,tamilnadu,
kuvagam,tamilnadu,
elakurichi,tamilnadu,
kundaveli,tamilnadu,
ponparappi,tamilnadu,
thrumanur,tamilnadu,
keelapalur,tamilnadu,
suthamalli,tamilnadu,
purasawalkam -  peram,tamilnadu,
purasawalkam -  peram,tamilnadu,
purasawalkam -  peram,tamilnadu,
purasawalkam -  peram,tamilnadu,
mylapore - tiruvalliken,tamilnadu,
mylapore - tiruvalliken,tamilnadu,
mylapore - tiruvalliken,tamilnadu,
mylapore - tiruvalliken,tamilnadu,
mambalam - guindy-ii,tamilnadu,
kottai - thondiarpet-iii,tamilnadu,
kottai - thondiarpet-iv,tamilnadu,
kottai - thondiarpet-i,tamilnadu,
kottai - thondiarpet-ii,tamilnadu,
mambalam - guindy-iii,tamilnadu,
mambalam - guindy-iv,tamilnadu,
mambalam - guindy-i,tamilnadu,
egmore - nungambakka,tamilnadu,
egmore - nungambakka,tamilnadu,
egmore - nungambakka,tamilnadu,
egmore - nungambakka,tamilnadu,
saravanampatti,tamilnadu,
thirumalaiampalayam,tamilnadu,
anamalai,tamilnadu,
karumathampatti,tamilnadu,
ottakkal mandabam,tamilnadu,
vadachittur,tamilnadu,
selakkarichal,tamilnadu,
madampatti,tamilnadu,
varapatti,tamilnadu,
thondamuthur,tamilnadu,
ramapattinam,tamilnadu,
kinathukatavu,tamilnadu,
sarkar samakulam,tamilnadu,
perianegamam,tamilnadu,
anupparpalayam,tamilnadu,
kolarpatti,tamilnadu,
marchinaickenpalayam,tamilnadu,
thudialur,tamilnadu,
periyanaickenpalayam,tamilnadu,
umangalam,tamilnadu,
thiruvanthipuram,tamilnadu,
rettichavadi,tamilnadu,
kammapuram (w),tamilnadu,
kammapuram (e),tamilnadu,
thiruvakulam,tamilnadu,
orathur,tamilnadu,
kumarachi,tamilnadu,
kullanchavadi,tamilnadu,
udaiyarkudi,tamilnadu,
tittagudi (w),tamilnadu,
thozhudur,tamilnadu,
kadampuliyur,tamilnadu,
sethiyathoppu,tamilnadu,
sirupakkam,tamilnadu,
pappireddipatty,tamilnadu,
kambainallur,tamilnadu,
thenkaraikottai,tamilnadu,
vellichandai,tamilnadu,
papparapatty,tamilnadu,
indur,tamilnadu,
kadathur,tamilnadu,
marandahalli,tamilnadu,
pulikarai,tamilnadu,
perumbalai,tamilnadu,
perianahalli,tamilnadu,
sunjalnatham,tamilnadu,
oruthattu,tamilnadu,
neikkarapattai,tamilnadu,
pillaiyarnatham,tamilnadu,
dharmathupatti,tamilnadu,
puliyurnatham,tamilnadu,
ayyalur,tamilnadu,
kottanatham,tamilnadu,
shanarpatti,tamilnadu,
silvathur,tamilnadu,
devathur,tamilnadu,
kallimanthayam,tamilnadu,
thoppampatti,tamilnadu,
viruveedu,tamilnadu,
chinnakkampatti,tamilnadu,
oddanchathram,tamilnadu,
chinnalpatti,tamilnadu,
nilakottai,tamilnadu,
reddiarchatram,tamilnadu,
palakkanoothu,tamilnadu,
eriodu,tamilnadu,
kodiakanal,tamilnadu,
senthurai,tamilnadu,
reddiapatti,tamilnadu,
kambiliampatti,tamilnadu,
korikadavu,tamilnadu,
kilampadi,tamilnadu,
modakurichi,tamilnadu,
bhavanisagar,tamilnadu,
punjaipuliampatti,tamilnadu,
kugalur,tamilnadu,
poondurai,tamilnadu,
kuthiyalathur,tamilnadu,
kavandapadi,tamilnadu,
kanjikoil,tamilnadu,
thiruppu kuzhi,tamilnadu,
singaperumalkoil,tamilnadu,
sirukaveripakkam,tamilnadu,
govindhavadi,tamilnadu,
appur,tamilnadu,
orathi,tamilnadu,
thirupulivanam,tamilnadu,
sriperumpudur,tamilnadu,
kunrathur,tamilnadu,
thenneri,tamilnadu,
alanthur,tamilnadu,
sunkuvarchatram,tamilnadu,
karugkuzhi,tamilnadu,
maduramangalam,tamilnadu,
chittiambakkam,tamilnadu,
serappanacheri,tamilnadu,
parandur,tamilnadu,
lathur,tamilnadu,
sunampedu,tamilnadu,
vaiyavur,tamilnadu,
madhuranthakam,tamilnadu,
maharal,tamilnadu,
manambathy,tamilnadu,
kodur,tamilnadu,
onampakkam,tamilnadu,
pallur,tamilnadu,
kattankulathur,tamilnadu,
kollapakkam,tamilnadu,
chithamur,tamilnadu,
jameenendathur,tamilnadu,
perumpakkam,tamilnadu,
acchirupakkam,tamilnadu,
ponvilayanthakalathu,tamilnadu,
kaliyampoondi,tamilnadu,
bhoothapandy,tamilnadu,
kulasekaram,tamilnadu,
arumanai,tamilnadu,
edaicode,tamilnadu,
thiruvithancode,tamilnadu,
kurunthencode,tamilnadu,
midalam,tamilnadu,
kanniyakumari,tamilnadu,
painkulam,tamilnadu,
thalapatti,tamilnadu,
kattalai,tamilnadu,
k.paramathy,tamilnadu,
panjapatti,tamilnadu,
velliyanai,tamilnadu,
thennilai,tamilnadu,
thoranakalpatti,tamilnadu,
thogaimalai,tamilnadu,
mailampatti,tamilnadu,
nangavaram,tamilnadu,
chinthalavadi,tamilnadu,
chinnadharapuram,tamilnadu,
nagarasampatti,tamilnadu,
mathigiri,tamilnadu,
berigai,tamilnadu,
palepalli,tamilnadu,
kallavi,tamilnadu,
alapatti,tamilnadu,
singarapettai,tamilnadu,
guruparapalli,tamilnadu,
veppanapalli,tamilnadu,
anjetti,tamilnadu,
denkanikotta,tamilnadu,
barur,tamilnadu,
kakkadasam,tamilnadu,
periyamuthur,tamilnadu,
thally,tamilnadu,
uthanapalli,tamilnadu,
karumathur,tamilnadu,
kokkulam,tamilnadu,
nagamalali pudukotta,tamilnadu,
sindhupatti,tamilnadu,
uthappanaickanur,tamilnadu,
palamedu,tamilnadu,
muduvarpatti,tamilnadu,
sakkimangalam,tamilnadu,
appan thirupathi,tamilnadu,
rajakkur,tamilnadu,
arumabanur,tamilnadu,
avaniyapuram,tamilnadu,
samayanallur,tamilnadu,
thiruvathavur,tamilnadu,
keelavalavu,tamilnadu,
koolapandi,tamilnadu,
virathanur,tamilnadu,
chathrapatti,tamilnadu,
kuraiyur,tamilnadu,
melavalavu,tamilnadu,
thanichiam,tamilnadu,
sivarakkottai,tamilnadu,
karungalakudi,tamilnadu,
mothagam,tamilnadu,
neerathan,tamilnadu,
thenkarai,tamilnadu,
athipatti,tamilnadu,
solavandhan,tamilnadu,
thirupparan kundram,tamilnadu,
valayankulam,tamilnadu,
valanthur,tamilnadu,
pannikkundu,tamilnadu,
vaitheeswaran koil,tamilnadu,
thiruvilaiyattam,tamilnadu,
madhanam,tamilnadu,
thiruvenkadu,tamilnadu,
melaiyur,tamilnadu,
kuttalam,tamilnadu,
pattavarthi,tamilnadu,
kangalancheri,tamilnadu,
kariyapattinam,tamilnadu,
nagappattinam,tamilnadu,
nirmulai,tamilnadu,
thagatur,tamilnadu,
therkupoigainallur,tamilnadu,
thevoor,tamilnadu,
thillayadi,tamilnadu,
thirukannapuram,tamilnadu,
thirumarugal,tamilnadu,
valivalam,tamilnadu,
velanganni,tamilnadu,
elachipalayam,tamilnadu,
erumaipatti,tamilnadu,
mullukurichi,tamilnadu,
sellappampatti,tamilnadu,
vennandur,tamilnadu,
kalappanaikanpatti,tamilnadu,
senthamagalam,tamilnadu,
valavanthi nadu,tamilnadu,
thirupuli nadu,tamilnadu,
manickampalayam,tamilnadu,
kilkotagiri,tamilnadu,
sholur,tamilnadu,
cherambadi,tamilnadu,
vengalam,tamilnadu,
keelapuliyur,tamilnadu,
kurumbalur,tamilnadu,
kolakanatham,tamilnadu,
koothur,tamilnadu,
ponpette,tamilnadu,
nagudi,tamilnadu,
keelanilai,tamilnadu,
killukkottai,tamilnadu,
mathoor,tamilnadu,
sinkavanam,tamilnadu,
ponnamaravathy,tamilnadu,
veerapatty,tamilnadu,
sholandhur,tamilnadu,
aanandhur,tamilnadu,
thiruvadani,tamilnadu,
pullur,tamilnadu,
melakodumalur,tamilnadu,
kakkur,tamilnadu,
nainarkoil,tamilnadu,
theriruveli,tamilnadu,
aappanur,tamilnadu,
parthipanoor,tamilnadu,
t.u.mangai,tamilnadu,
keelathuval,tamilnadu,
perunaazhi,tamilnadu,
keelakkarai,tamilnadu,
perunkulam,tamilnadu,
mangalakudi,tamilnadu,
melachelvanur,tamilnadu,
s.tharaikudi,tamilnadu,
thirupullani,tamilnadu,
thondi,tamilnadu,
kadayampatti,tamilnadu,
semmandappatti,tamilnadu,
karupur,tamilnadu,
tharamangalam,tamilnadu,
alagapuram,tamilnadu,
palamalai,tamilnadu,
karippatti,tamilnadu,
pottaneri,tamilnadu,
yethapur,tamilnadu,
salem town,tamilnadu,
konganapuram,tamilnadu,
